PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Brandon Allen,2555365,QB,CIN,Bye,,,,,,,,,,,,,1,0.00,
Josh Allen,2560955,QB,BUF,@NYJ,,,,,,,,,,,,24.38,2,0.00,-24.38
Kyle Allen,2561177,QB,WAS,TB,,,,,,,,,,,,0.48,3,0.00,-0.48
Kenji Bahar,2566608,QB,FA,Bye,,,,,,,,,,,,,4,0.00,
Matt Barkley,2539308,QB,TEN,NO,,,,,,,,,,,,0.00,5,0.00,0.0
C.J. Beathard,2557922,QB,JAX,@IND,,,,,,,,,,,,0.63,6,0.00,-0.63
David Blough,2563043,QB,DET,@PIT,,,,,,,,,,,,0.00,7,0.00,0.0
Ian Book,2566352,QB,NO,@TEN,,,,,,,,,,,,0.00,8,0.00,0.0
Blake Bortles,2543477,QB,GB,SEA,,,,,,,,,,,,0.00,9,0.00,0.0
Tim Boyle,2561187,QB,DET,@PIT,,,,,,,,,,,,,10,0.00,
Tom Brady,2504211,QB,TB,@WAS,,,,,,,,,,,,21.32,11,0.00,-21.32
Drew Brees,2504775,QB,FA,Bye,,,,,,,,,,,,,12,0.00,
Teddy Bridgewater,2543465,QB,DEN,PHI,,,,,,,,,,,,16.89,13,0.00,-16.89
Jacoby Brissett,2555261,QB,MIA,BAL,,,,,,,,,,,,0.74,14,0.00,-0.74
Jake Browning,2562634,QB,CIN,Bye,,,,,,,,,,,,,15,0.00,
Shane Buechele,2566983,QB,KC,@LV,,,,,,,,,,,,0.00,16,0.00,0.0
Joe Burrow,2563722,QB,CIN,Bye,,,,,,,,,,,,,17,0.00,
Derek Carr,2543499,QB,LV,KC,,,,,,,,,,,,19.73,18,0.00,-19.73
Kirk Cousins,2532820,QB,MIN,@LAC,,,,,,,,,,,,18.15,19,0.00,-18.15
Andy Dalton,2495143,QB,CHI,Bye,,,,,,,,,,,,,20,0.00,
Chase Daniel,81284,QB,LAC,MIN,,,,,,,,,,,,0.51,21,0.00,-0.51
Sam Darnold,2561036,QB,CAR,@ARI,,,,,,,,,,,,15.45,22,0.00,-15.45
Ben DiNucci,2563839,QB,DAL,ATL,,,,,,,,,,,,0.00,23,0.00,0.0
Joshua Dobbs,2558167,QB,PIT,DET,,,,,,,,,,,,,24,0.00,
Jeff Driskel,2555262,QB,HOU,Bye,,,,,,,,,,,,,25,0.00,
Jacob Eason,2564115,QB,SEA,@GB,,,,,,,,,,,,0.00,26,0.00,0.0
Sam Ehlinger,2566142,QB,IND,JAX,,,,,,,,,,,,1.80,27,0.00,-1.8
Danny Etling,2560717,QB,FA,Bye,,,,,,,,,,,,,28,0.00,
Justin Fields,2565920,QB,CHI,Bye,,,,,,,,,,,,,29,0.00,
Ryan Finley,2562651,QB,FA,Bye,,,,,,,,,,,,,30,0.00,
Ryan Fitzpatrick,2506581,QB,WAS,TB,,,,,,,,,,,,,31,0.00,
Joe Flacco,382,QB,NYJ,BUF,,,,,,,,,,,,0.91,32,0.00,-0.91
Nick Foles,2532842,QB,CHI,Bye,,,,,,,,,,,,,33,0.00,
Feleipe Franks,2566683,QB,ATL,@DAL,,,,,,,,,,,,0.00,34,0.00,0.0
Jake Fromm,2563608,QB,BUF,@NYJ,,,,,,,,,,,,,35,0.00,
Blaine Gabbert,2495441,QB,TB,@WAS,,,,,,,,,,,,0.98,36,0.00,-0.98
Jimmy Garoppolo,2543801,QB,SF,LA,,,,,,,,,,,,15.04,37,0.00,-15.04
Garrett Gilbert,2549982,QB,NE,CLE,,,,,,,,,,,,0.00,38,0.00,0.0
Mike Glennon,2539275,QB,NYG,Bye,,,,,,,,,,,,,39,0.00,
Jared Goff,2555334,QB,DET,@PIT,,,,,,,,,,,,13.94,40,0.00,-13.94
Anthony Gordon,2565153,QB,FA,Bye,,,,,,,,,,,,,41,0.00,
Will Grier,2562404,QB,DAL,ATL,,,,,,,,,,,,0.65,42,0.00,-0.65
Ryan Griffin,2541185,QB,TB,@WAS,,,,,,,,,,,,0.00,43,0.00,0.0
Dwayne Haskins,2562660,QB,PIT,DET,,,,,,,,,,,,0.00,44,0.00,0.0
Taylor Heinicke,2553656,QB,WAS,TB,,,,,,,,,,,,16.66,45,0.00,-16.66
Chad Henne,252,QB,KC,@LV,,,,,,,,,,,,0.67,46,0.00,-0.67
Justin Herbert,2565045,QB,LAC,MIN,,,,,,,,,,,,19.79,47,0.00,-19.79
Taysom Hill,2558954,QB,NO,@TEN,,,,,,,,,,,,4.08,48,0.00,-4.08
Devlin Hodges,2563258,QB,FA,Bye,,,,,,,,,,,,,49,0.00,
Brian Hoyer,81294,QB,NE,CLE,,,,,,,,,,,,0.42,50,0.00,-0.42
Brett Hundley,2552588,QB,IND,JAX,,,,,,,,,,,,0.00,51,0.00,0.0
Tyler Huntley,2563560,QB,BAL,@MIA,,,,,,,,,,,,0.85,52,0.00,-0.85
Jalen Hurts,2564832,QB,PHI,@DEN,,,,,,,,,,,,19.00,53,0.00,-19.0
Lamar Jackson,2560757,QB,BAL,@MIA,,,,,,,,,,,,22.92,54,0.00,-22.92
Josh Johnson,264,QB,NYJ,BUF,,,,,,,,,,,,0.00,55,0.00,0.0
Daniel Jones,2562299,QB,NYG,Bye,,,,,,,,,,,,,56,0.00,
Mac Jones,2566334,QB,NE,CLE,,,,,,,,,,,,15.47,57,0.00,-15.47
Colin Kaepernick,2495186,QB,FA,Bye,,,,,,,,,,,,,58,0.00,
Case Keenum,2532888,QB,CLE,@NE,,,,,,,,,,,,0.53,59,0.00,-0.53
DeShone Kizer,2557983,QB,FA,Bye,,,,,,,,,,,,,60,0.00,
Trey Lance,2566532,QB,SF,LA,,,,,,,,,,,,2.07,61,0.00,-2.07
Kyle Lauletta,2560786,QB,JAX,@IND,,,,,,,,,,,,0.00,62,0.00,0.0
Trevor Lawrence,2566163,QB,JAX,@IND,,,,,,,,,,,,15.04,63,0.00,-15.04
Drew Lock,2562305,QB,DEN,PHI,,,,,,,,,,,,0.00,64,0.00,0.0
Jordan Love,2564007,QB,GB,SEA,,,,,,,,,,,,0.82,65,0.00,-0.82
Jake Luton,2564205,QB,SEA,@GB,,,,,,,,,,,,0.00,66,0.00,0.0
Patrick Mahomes,2558125,QB,KC,@LV,,,,,,,,,,,,21.15,67,0.00,-21.15
Sean Mannion,2552576,QB,MIN,@LAC,,,,,,,,,,,,0.51,68,0.00,-0.51
Marcus Mariota,2552466,QB,LV,KC,,,,,,,,,,,,1.03,69,0.00,-1.03
Baker Mayfield,2560800,QB,CLE,@NE,,,,,,,,,,,,16.63,70,0.00,-16.63
AJ McCarron,2543497,QB,ATL,@DAL,,,,,,,,,,,,,71,0.00,
Josh McCown,2505076,QB,FA,Bye,,,,,,,,,,,,,72,0.00,
Colt McCoy,497123,QB,ARI,CAR,,,,,,,,,,,,0.73,73,0.00,-0.73
Cole McDonald,2564052,QB,FA,Bye,,,,,,,,,,,,,74,0.00,
Alex McGough,2561148,QB,FA,Bye,,,,,,,,,,,,,75,0.00,
Trace McSorley,2562403,QB,BAL,@MIA,,,,,,,,,,,,0.00,76,0.00,0.0
Davis Mills,2566136,QB,HOU,Bye,,,,,,,,,,,,,77,0.00,
Gardner Minshew,2562796,QB,PHI,@DEN,,,,,,,,,,,,1.35,78,0.00,-1.35
Kellen Mond,2566310,QB,MIN,@LAC,,,,,,,,,,,,0.00,79,0.00,0.0
Steven Montez,2565285,QB,DET,@PIT,,,,,,,,,,,,0.00,80,0.00,0.0
Matt Moore,2507282,QB,FA,Bye,,,,,,,,,,,,,81,0.00,
James Morgan,2564805,QB,CAR,@ARI,,,,,,,,,,,,0.00,82,0.00,0.0
Jalen Morton,2564013,QB,FA,Bye,,,,,,,,,,,,,83,0.00,
Kyler Murray,2562382,QB,ARI,CAR,,,,,,,,,,,,19.35,84,0.00,-19.35
Jamie Newman,2567058,QB,FA,Bye,,,,,,,,,,,,,85,0.00,
Cam Newton,2495455,QB,FA,Bye,,,,,,,,,,,,,86,0.00,
Bryce Perkins,2564382,QB,LA,@SF,,,,,,,,,,,,0.00,87,0.00,0.0
Nathan Peterman,2558191,QB,LV,KC,,,,,,,,,,,,0.00,88,0.00,0.0
Dak Prescott,2555260,QB,DAL,ATL,,,,,,,,,,,,21.53,89,0.00,-21.53
Philip Rivers,2506121,QB,FA,Bye,,,,,,,,,,,,,90,0.00,
Aaron Rodgers,2506363,QB,GB,SEA,,,,,,,,,,,,20.07,91,0.00,-20.07
Ben Roethlisberger,2506109,QB,PIT,DET,,,,,,,,,,,,18.68,92,0.00,-18.68
Josh Rosen,2560858,QB,ATL,@DAL,,,,,,,,,,,,0.00,93,0.00,0.0
Jake Rudock,2556232,QB,FA,Bye,,,,,,,,,,,,,94,0.00,
Mason Rudolph,2560860,QB,PIT,DET,,,,,,,,,,,,0.52,95,0.00,-0.52
Cooper Rush,2559242,QB,DAL,ATL,,,,,,,,,,,,0.86,96,0.00,-0.86
Matt Ryan,310,QB,ATL,@DAL,,,,,,,,,,,,18.31,97,0.00,-18.31
Brett Rypien,2562718,QB,DEN,PHI,,,,,,,,,,,,0.00,98,0.00,0.0
Matt Schaub,2505982,QB,FA,Bye,,,,,,,,,,,,,99,0.00,
Kyle Shurmur,2562731,QB,WAS,TB,,,,,,,,,,,,0.00,100,0.00,0.0
Trevor Siemian,2553457,QB,NO,@TEN,,,,,,,,,,,,13.46,101,0.00,-13.46
Reid Sinnett,2565255,QB,PHI,@DEN,,,,,,,,,,,,0.00,102,0.00,0.0
Alex Smith,2506340,QB,FA,Bye,,,,,,,,,,,,,103,0.00,
Geno Smith,2539335,QB,SEA,@GB,,,,,,,,,,,,0.93,104,0.00,-0.93
Matthew Stafford,79860,QB,LA,@SF,,,,,,,,,,,,19.05,105,0.00,-19.05
Nate Stanley,2564577,QB,MIN,@LAC,,,,,,,,,,,,,106,0.00,
Drew Stanton,2495748,QB,FA,Bye,,,,,,,,,,,,,107,0.00,
Tommy Stevens,2564697,QB,FA,Bye,,,,,,,,,,,,,108,0.00,
Easton Stick,2562745,QB,LAC,MIN,,,,,,,,,,,,0.00,109,0.00,0.0
Jarrett Stidham,2562746,QB,NE,CLE,,,,,,,,,,,,0.00,110,0.00,0.0
Chris Streveler,2563458,QB,ARI,CAR,,,,,,,,,,,,0.00,111,0.00,0.0
Nate Sudfeld,2555427,QB,SF,LA,,,,,,,,,,,,0.00,112,0.00,0.0
Tua Tagovailoa,2564499,QB,MIA,BAL,,,,,,,,,,,,17.66,113,0.00,-17.66
Ryan Tannehill,2532956,QB,TEN,NO,,,,,,,,,,,,18.17,114,0.00,-18.17
Tyrod Taylor,2495240,QB,HOU,Bye,,,,,,,,,,,,,115,0.00,
Clayton Thorson,2562762,QB,FA,Bye,,,,,,,,,,,,,116,0.00,
Kyle Trask,2566571,QB,TB,@WAS,,,,,,,,,,,,0.00,117,0.00,0.0
Mitchell Trubisky,2558008,QB,BUF,@NYJ,,,,,,,,,,,,0.00,118,0.00,0.0
P.J. Walker,2558904,QB,CAR,@ARI,,,,,,,,,,,,0.68,119,0.00,-0.68
Deshaun Watson,2558063,QB,HOU,Bye,,,,,,,,,,,,,120,0.00,
Davis Webb,2557897,QB,BUF,@NYJ,,,,,,,,,,,,0.00,121,0.00,0.0
Carson Wentz,2555259,QB,IND,JAX,,,,,,,,,,,,17.76,122,0.00,-17.76
Mike White,2560929,QB,NYJ,BUF,,,,,,,,,,,,14.22,123,0.00,-14.22
Russell Wilson,2532975,QB,SEA,@GB,,,,,,,,,,,,,124,0.00,
Zach Wilson,2566391,QB,NYJ,BUF,,,,,,,,,,,,0.00,125,0.00,0.0
Jameis Winston,2552033,QB,NO,@TEN,,,,,,,,,,,,,126,0.00,
John Wolford,2561718,QB,LA,@SF,,,,,,,,,,,,0.69,127,0.00,-0.69
Logan Woodside,2560942,QB,TEN,NO,,,,,,,,,,,,0.55,128,0.00,-0.55
